car_id,Brand,Name,Price,Fuel Consumption (KM/L),Seats,Luggage Capacity (L),Engine Type,Total Displacement (CC),Fuel Tank Capacity (L),Electric Power Steering (EPS),Airbags,Image,Info,Fuel_Consumption,Boot_Capacity,Fuel_Tank,Road_tax
1,Perodua,Axia AV,49500,27.4,5,265,"1KR-VE, DOHC, 12V, Electronic Fuel Injection (EFi) with VVT-i",998,36,With,"6 (Front, Side & Curtain)",images/CarSpec/Axia/Axia-AV.png,https://www.perodua.com.my/our-models/hatchback/axia.html,3,1,1,20
2,Perodua,Axia SE,44000,27.4,5,265,"1KR-VE, DOHC, 12V, Electronic Fuel Injection (EFi) with VVT-i",998,36,With,2 (Front),images/CarSpec/Axia/Axia-SE.png,https://www.perodua.com.my/our-models/hatchback/axia.html,3,1,1,20
3,Perodua,Axia X,40000,25.3,5,265,"1KR-VE, DOHC, 12V, Electronic Fuel Injection (EFi) with VVT-i",998,36,With,2 (Front),images/CarSpec/Axia/Axia-X.png,https://www.perodua.com.my/our-models/hatchback/axia.html,3,1,1,20
4,Perodua,Axia G,38600,25.3,5,265,"1KR-VE, DOHC, 12V, Electronic Fuel Injection (EFi) with VVT-i",998,36,With,2 (Front),images/CarSpec/Axia/Axia-G.png,https://www.perodua.com.my/our-models/hatchback/axia.html,3,1,1,20
5,Perodua,Axia E,22000,22.5,5,260,"1KR-VE, DOHC, 12V, Electronic Fuel Injection (EFi) with VVT-i",998,33,With,2 (Front),images/CarSpec/Axia/Axia-E.png,https://www.perodua.com.my/our-models/hatchback/axia.html,2,1,1,20
6,Perodua,Bezza AV,49980,22,5,508,1NR-VE,1329,36,With,Driver and passenger,images/CarSpec/Bezza/Bezza-AV.png,https://www.perodua.com.my/our-models/sedan/bezza.html,2,3,1,70
7,Perodua,Bezza X,43980,21,5,508,1NR-VE,1329,36,With,Driver and passenger,images/CarSpec/Bezza/Bezza-X.png,https://www.perodua.com.my/our-models/sedan/bezza.html,2,3,1,70
8,Perodua,Bezza G,36580,21.3,5,508,1KR-VE,998,36,With,Driver and passenger,images/CarSpec/Bezza/Bezza-G.png,https://www.perodua.com.my/our-models/sedan/bezza.html,2,3,1,20
9,Perodua,Bezza G (Manual),34580,22.8,5,508,1KR-VE,998,36,With,Driver and passenger,images/CarSpec/Bezza/Bezza-G.png,https://www.perodua.com.my/our-models/sedan/bezza.html,2,3,1,20
10,Perodua,Myvi AV,59900,21.1,5,277,"2NR-VE, DOHC with DUAL VVT-i",1496,36,With,"6 (Front, Side & Curtain)",images/CarSpec/Myvi/Myvi-AV.png,https://www.perodua.com.my/our-models/hatchback/myvi.html,2,1,1,90
